Limit,Mechanism 2 Revenue,HDR Revenue,Optimal Revenue,Efficiency M2,Efficiency HDR
0.012,11.214803866818492,11.214803866818492,13.868984992593173,0.8086247027311542,0.8086247027311542
0.024,9.7604735316943,9.7604735316943,18.578294744284083,0.5253697212817269,0.5253697212817269
0.036000000000000004,9.702000578286471,9.702000578286471,12.757133631083567,0.7605157129221356,0.7605157129221356
0.048,12.240831368702176,12.240831368702176,18.656142025238925,0.6561287618920456,0.6561287618920456
0.06,7.8760593537645995,7.8760593537645995,12.58155909431137,0.6260002671152006,0.6260002671152006
0.072,6.979645020222986,6.979645020222986,10.792819418919352,0.6466933939418986,0.6466933939418986
0.084,8.489975627989702,8.489975627989702,12.698019115629483,0.6686063039186743,0.6686063039186743
0.096,9.743385569796565,9.743385569796565,12.698019115629483,0.76731539628916,0.76731539628916
0.108,7.619644902772178,7.619644902772178,11.606810133075388,0.6564805330155983,0.6564805330155983
0.12000000000000001,6.63070790816462,6.63070790816462,15.249193795698648,0.43482350588494384,0.43482350588494384
0.132,8.12795252244651,8.12795252244651,18.397558302890953,0.44179517676371766,0.44179517676371766
0.14400000000000002,9.490549244708529,9.490549244708529,12.826082510968773,0.7399413840190315,0.7399413840190315
0.15600000000000003,9.843479813890378,9.843479813890378,14.612432328663218,0.6736373241969966,0.6736373241969966
0.16800000000000007,8.279521054203876,8.279521054203876,7.778949597114868,1.0643494922855221,1.0643494922855221
0.18000000000000008,6.862756904163122,6.862756904163122,6.89697839517415,0.995038190777142,0.995038190777142
0.1920000000000001,9.230772538371404,9.230772538371404,9.99202797846774,0.923813720124003,0.923813720124003
0.2040000000000001,4.257905481426724,4.257905481426724,9.99202797846774,0.42613026010358174,0.42613026010358174
0.2160000000000001,10.793876221900714,10.793876221900714,12.304845720376168,0.8772053276561307,0.8772053276561307
0.22800000000000012,11.64307220145061,11.64307220145061,14.175059694115777,0.8213772959477396,0.8213772959477396
0.2400000000000001,7.030565839110455,7.030565839110455,12.060705628408185,0.5829315510819224,0.5829315510819224
0.2520000000000001,4.285316329917487,4.285316329917487,12.060705628408185,0.355312239760144,0.355312239760144
0.2640000000000001,7.4710040158214355,7.4710040158214355,13.918364748930175,0.5367731159937944,0.5367731159937944
0.27600000000000013,9.027367058885321,9.027367058885321,13.918364748930175,0.6485939420131379,0.6485939420131379
0.2880000000000001,4.772935955465733,4.772935955465733,13.918364748930175,0.34292361506279684,0.34292361506279684
0.3000000000000001,7.02178027512692,7.02178027512692,9.021734296846265,0.7783182306290631,0.7783182306290631
0.3120000000000001,4.815414906418856,4.815414906418856,7.257088353184806,0.6635464076037588,0.6635464076037588
0.3240000000000001,2.69334242342097,2.69334242342097,7.257088353184806,0.3711326488451783,0.3711326488451783
0.33600000000000013,6.477804604945641,6.477804604945641,17.06154460192122,0.37967281134770214,0.37967281134770214
0.3480000000000001,3.106323004031257,3.106323004031257,8.094959612945676,0.3837354542280288,0.3837354542280288
0.3600000000000001,9.380837610495092,9.380837610495092,21.39448724312524,0.4384698499147002,0.4384698499147002
0.3720000000000001,6.075182885544068,6.075182885544068,16.78829595996614,0.36187013262281814,0.36187013262281814
0.3840000000000001,1.6332552792286865,1.6332552792286865,15.00052176434475,0.10887989797200431,0.10887989797200431
0.39600000000000013,1.795182681900105,1.795182681900105,15.00052176434475,0.11967468266118154,0.11967468266118154
0.4080000000000001,2.0179156887156484,2.0179156887156484,11.973756209184197,0.1685282089815602,0.1685282089815602
0.4200000000000001,3.9536123664800558,3.9536123664800558,10.007529272004826,0.3950637823803259,0.3950637823803259
0.4320000000000001,1.561373574375064,1.561373574375064,10.007529272004826,0.1560198858216551,0.1560198858216551
0.4440000000000001,3.44181335862645,3.44181335862645,9.391767659461992,0.36647130587380977,0.36647130587380977
0.4560000000000001,1.2663338236871593,1.2663338236871593,9.391767659461992,0.13483444965883037,0.13483444965883037
0.46800000000000014,1.5945189545206,1.5945189545206,9.391767659461992,0.16977836466324403,0.16977836466324403
0.4800000000000002,2.6496486932711685,2.6496486932711685,26.58919725618281,0.0996513233454253,0.0996513233454253
0.4920000000000002,6.823455471421239,6.823455471421239,10.018850816598423,0.6810616902406301,0.6810616902406301
0.5040000000000002,5.019640957183517,5.019640957183517,10.018850816598423,0.5010196327973445,0.5010196327973445
0.5160000000000002,3.617833531538808,3.617833531538808,9.998460266722489,0.3618390667190939,0.3618390667190939
0.5280000000000002,3.8908959799112077,3.8908959799112077,9.998460266722489,0.3891495166371901,0.3891495166371901
0.5400000000000003,3.569218164951516,3.569218164951516,9.998460266722489,0.35697678139811334,0.35697678139811334
0.5520000000000003,2.1060746205448586,2.1060746205448586,9.998460266722489,0.21063989498007307,0.21063989498007307
0.5640000000000003,2.1366329517087195,2.1366329517087195,9.998460266722489,0.21369619868571135,0.21369619868571135
0.5760000000000003,7.775039430324139,7.775039430324139,17.81305191052825,0.4364799176119151,0.4364799176119151
0.5880000000000003,7.136371156703756,7.136371156703756,17.81305191052825,0.4006259675516841,0.4006259675516841
0.6000000000000003,3.9470679129822317,3.9470679129822317,17.81305191052825,0.22158291194611918,0.22158291194611918
0.6120000000000003,8.526361074333812,8.526361074333812,18.0884890581833,0.4713694464423193,0.4713694464423193
0.6240000000000003,3.270993081475055,3.270993081475055,14.155136378657266,0.23108170730216138,0.23108170730216138
0.6360000000000003,2.518383643435909,2.518383643435909,14.155136378657266,0.17791306110148541,0.17791306110148541
0.6480000000000004,3.272018183263905,3.272018183263905,14.155136378657266,0.23115412637050717,0.23115412637050717
